month,tourist arrival,USD,GBP,GDP (current US$),Kerosine type jet fuel (U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon))
2017 January,"219,360",150,,94369350286,1.514
2017February,"197,517",151,,94369350286,1.547
2017March,"188,076",151,,94369350286,1.445
2017April,"160,249",152,,94369350286,1.51
2017May,"121,891",152,,94369350286,1.412
2017June,"123,351",153,,94369350286,1.295
2017July,"205,482",154,,94369350286,1.417
2017August,"190,928",153,,94369350286,1.561
2017September,"145,077",153,,94369350286,1.8
2017October,"152,429",154,,94369350286,1.659
2017November,"167,511",154,,94369350286,1.76
2017December,"244,536",153.1506,,94369350286,1.817
2018 January,"238,924",154,,94450015983,1.952
2018February,"235,618",155,,94450015983,1.849
2018March,"233,382",156,,94450015983,1.858
2018April,"180,429",156,,94450015983,2.015
2018May,"129,466",158,,94450015983,2.155
2018June,"146,828",159,,94450015983,2.09
2018July,"217,829",159,,94450015983,2.098
2018August,"200,359",160,,94450015983,2.118
2018September,"149,087",164,,94450015983,2.189
2018October,"153,123",171,,94450015983,2.249
2018November,"195,582",177,,94450015983,1.945
2018December,"253,169",180.098,,94450015983,1.696
2019 January,"244,239",182,,88998706297,1.784
2019 February,"252,033",179,,88998706297,1.914
2019 March,"244,328",178,,88998706297,1.902
2019 April,"166,975",175,,88998706297,1.977
2019 May,"37,802",176,,88998706297,1.972
2019 June,"63,072",177,,88998706297,1.817
2019 July,"115,701",176,,88998706297,1.913
2019 August,"143,587",178,,88998706297,1.8
2019 September,"108,575",181,,88998706297,1.874
2019 October,"118,743",181,,88998706297,1.861
2019 November,"176,984",180,,88998706297,1.824
2019 December,"241,663",181,,88998706297,1.893
2020 January ,"228,434",181,,84335574582,1.77
2020February,"207,507",182,,84335574582,1.509
2020March,"71,370",185,,84335574582,0.953
2020April,---,193.0854,,84335574582,0.606
2020May,---,187.865,,84335574582,0.686
2020June,---,185.9545,,84335574582,0.983
2020July,---,185.8487,,84335574582,1.084
2020August,---,184.8939,,84335574582,1.112
2020September,---,185.0317,,84335574582,1.006
2020October,---,184.4379,,84335574582,1.047
2020November,---,184.7882,,84335574582,1.133
2020December,393,187.1822,,84335574582,1.324
2021 January,"1,682",190,,88556698938,1.42
2021February,"3,366",194,,88556698938,1.601
2021March,"4,581",197,,88556698938,1.661
2021April,"4,168",197,,88556698938,1.669
2021May,"1,497",200,,88556698938,1.752
2021June,"1,614",200,,88556698938,1.857
2021July,"2,429",200,,88556698938,1.887
2021August,"5,040",200,,88556698938,1.817
2021September,"13,547",202,,88556698938,2.003
2021October,"22,771",201,,88556698938,2.296
2021November,"44,294",202,,88556698938,2.193
2021ecember,"89,506",201.399,,88556698938,2.095
2022 January ,"82,327",199,,74143020263,2.446
2022February,"96,507",202,,74143020263,2.682
2022March,"106,500",256,,74143020263,3.495
2022April,"62,980",319,,74143020263,3.914
2022May,"30,207",359,,74143020263,3.902
2022June,"32,856",360,,74143020263,4.12
2022July,"47,293",361,,74143020263,3.478
2022August,"37,760",361,,74143020263,3.339
2022September,"29,802",362,,74143020263,3.262
2022October,"42,026",363,,74143020263,3.715
2022November,"59,759",363,,74143020263,3.16
2022December,"91,961",363.1652,,74143020263,2.897
2023 January,"102,545",362,,83716142582,3.542
2023February,"107,639",362,,83716142582,2.79
2023March,"125,495",329,,83716142582,2.679
2023April,"105,498",321,,83716142582,2.374
2023May,"83,309",310,,83716142582,2.173
2023June,"100,388",301,,83716142582,2.25
2023July,"143,039",319,,83716142582,2.488
2023August,"136,405",322,,83716142582,2.989
2023September,"111,938",323,,83716142582,3.12
2023October,"109,199",325,,83716142582,2.881
2023November,"151,496",328,,83716142582,2.734
2023December,"210,352",326.7423,,83716142582,2.387
2024 January,"208,253",321,,98963185510,2.585
2024February,"218,350",313,,98963185510,2.683
2024March,"209,181",306,,98963185510,2.593
2024April,"148,867",299,,98963185510,2.605
2024May,"112,128",300,,98963185510,2.38
2024June,"113,470",304,,98963185510,2.394
2024July,"187,810",304,,98963185510,2.419
2024August,"164,609",301,,98963185510,2.176
2024September,"122,140",301,,98963185510,1.982
2024October,"135,907",294,,98963185510,2.068
2024November,"184,158",292,,98963185510,2.065
2024December,"248,592",291.6805,,,2.097
2025 January,"252,761",296,,,2.347
2025February,"240,217",297,,,2.264
2025March,"229,298",296,,,2.069
2025April,"174,608",299,,,1.976
2025May,"132,919",299,,,1.928
2025June,"138,241",300,,,2.094
2025July,"200,244",301,,,2.244
2025August,,301.4891,,,2.024
2025September,,,,,
2025October,,,,,
2025November,,,,,
2025December,,,,,