year,month,tourist arrival,USD,GDP (current US$),Kerosine type jet fuel (U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)),festival,mean_temp,max_temp,min_temp,total_precip,Sri Lanka tourism,Sri Lanka travel
2017,1,"219,360",150.0,94369350286.0,1.514,,22.848387096774193,32.6,5.2,643.4,22.0,52.0
2017,2,"197,517",151.0,94369350286.0,1.547,,23.199285714285715,34.3,6.2,252.3,21.0,45.0
2017,3,"188,076",151.0,94369350286.0,1.445,,24.15225806451613,32.9,7.9,547.7,22.0,42.0
2017,4,"160,249",152.0,94369350286.0,1.51,Sinhala & Tamil New Year,25.534666666666663,38.8,10.6,514.4,19.0,40.0
2017,5,"121,891",152.0,94369350286.0,1.412,Vesak,25.28451612903226,37.6,11.9,1138.7,20.0,41.0
2017,6,"123,351",153.0,94369350286.0,1.295,Poson,24.792,37.3,12.9,923.5,21.0,38.0
2017,7,"205,482",154.0,94369350286.0,1.417,,24.98193548387097,37.9,12.5,705.7,25.0,46.0
2017,8,"190,928",153.0,94369350286.0,1.561,Esala Perahera (Kandy),24.4,36.3,11.6,1096.9,26.0,45.0
2017,9,"145,077",153.0,94369350286.0,1.8,,24.107333333333333,35.4,11.3,1053.7,20.0,42.0
2017,10,"152,429",154.0,94369350286.0,1.659,,24.05483870967742,36.1,11.6,1443.6,19.0,45.0
2017,11,"167,511",154.0,94369350286.0,1.76,,23.250666666666667,32.0,10.2,1949.1,20.0,48.0
2017,12,"244,536",153.1506,94369350286.0,1.817,Christmas,23.153548387096773,31.0,9.9,622.0,23.0,48.0
2018,1,"238,924",154.0,94450015983.0,1.952,,23.047741935483867,33.1,6.3,181.2,25.0,64.0
2018,2,"235,618",155.0,94450015983.0,1.849,,23.783571428571427,33.7,9.2,374.6,19.0,49.0
2018,3,"233,382",156.0,94450015983.0,1.858,,24.294193548387096,33.8,9.8,573.0,23.0,59.0
2018,4,"180,429",156.0,94450015983.0,2.015,Sinhala & Tamil New Year,24.803333333333335,34.8,11.4,578.2,19.0,43.0
2018,5,"129,466",158.0,94450015983.0,2.155,Vesak,24.383225806451613,36.8,12.3,1690.3,22.0,42.0
2018,6,"146,828",159.0,94450015983.0,2.09,Poson,24.413333333333338,36.6,12.9,1151.4999999999998,18.0,43.0
2018,7,"217,829",159.0,94450015983.0,2.098,,24.23677419354839,37.9,11.6,861.8000000000001,21.0,46.0
2018,8,"200,359",160.0,94450015983.0,2.118,Esala Perahera (Kandy),23.900645161290324,36.5,11.0,945.2,23.0,50.0
2018,9,"149,087",164.0,94450015983.0,2.189,,24.169333333333334,37.6,10.5,793.9,21.0,45.0
2018,10,"153,123",171.0,94450015983.0,2.249,,23.36193548387097,33.0,11.2,2179.6000000000004,22.0,50.0
2018,11,"195,582",177.0,94450015983.0,1.945,,23.294,31.8,9.5,1879.0999999999997,22.0,51.0
2018,12,"253,169",180.098,94450015983.0,1.696,Christmas,23.08,31.3,9.2,605.8000000000001,22.0,49.0
2019,1,"244,239",182.0,88998706297.0,1.784,,23.107096774193547,34.0,6.3,271.4,23.0,60.0
2019,2,"252,033",179.0,88998706297.0,1.914,,23.763571428571428,33.4,8.4,683.2,24.0,51.0
2019,3,"244,328",178.0,88998706297.0,1.902,,24.65096774193548,34.7,8.3,282.0,23.0,52.0
2019,4,"166,975",175.0,88998706297.0,1.977,Sinhala & Tamil New Year,25.538000000000004,34.7,11.0,600.9000000000001,31.0,100.0
2019,5,"37,802",176.0,88998706297.0,1.972,Vesak,25.793548387096777,38.8,11.3,498.0,20.0,52.0
2019,6,"63,072",177.0,88998706297.0,1.817,Poson,25.56066666666667,37.9,12.9,811.1999999999999,18.0,48.0
2019,7,"115,701",176.0,88998706297.0,1.913,,24.92129032258065,37.5,10.9,686.3,20.0,42.0
2019,8,"143,587",178.0,88998706297.0,1.8,Esala Perahera (Kandy),24.225161290322585,37.4,12.4,1402.0,20.0,42.0
2019,9,"108,575",181.0,88998706297.0,1.874,,23.986666666666665,37.4,12.2,1303.0,22.0,41.0
2019,10,"118,743",181.0,88998706297.0,1.861,,23.26129032258065,31.4,11.4,2196.1,18.0,40.0
2019,11,"176,984",180.0,88998706297.0,1.824,,23.589333333333336,32.2,10.9,1139.6,21.0,45.0
2019,12,"241,663",181.0,88998706297.0,1.893,Christmas,23.36709677419355,31.0,9.8,1070.1999999999998,21.0,46.0
2020,1,"228,434",181.0,84335574582.0,1.77,,23.75161290322581,33.1,8.0,157.4,24.0,58.0
2020,2,"207,507",182.0,84335574582.0,1.509,,24.4048275862069,35.4,8.6,194.3,20.0,50.0
2020,3,"71,370",185.0,84335574582.0,0.953,,25.405806451612904,34.5,8.9,159.6,12.0,58.0
2020,4,---,193.0854,84335574582.0,0.606,Sinhala & Tamil New Year,25.423333333333336,34.9,10.5,703.4,10.0,17.0
2020,5,---,187.865,84335574582.0,0.686,Vesak,25.356129032258064,36.2,13.3,1214.3,11.0,19.0
2020,6,---,185.9545,84335574582.0,0.983,Poson,25.02466666666667,37.5,11.5,749.9,13.0,21.0
2020,7,---,185.8487,84335574582.0,1.084,,24.463870967741933,36.2,12.3,959.2,12.0,23.0
2020,8,---,184.8939,84335574582.0,1.112,Esala Perahera (Kandy),24.42451612903226,36.7,10.9,832.3999999999999,14.0,25.0
2020,9,---,185.0317,84335574582.0,1.006,,23.821999999999996,36.4,11.7,1347.6999999999998,15.0,22.0
2020,10,---,184.4379,84335574582.0,1.047,,24.192903225806457,37.0,10.8,667.2,12.0,20.0
2020,11,---,184.7882,84335574582.0,1.133,,23.73,32.2,10.4,1633.8000000000002,11.0,19.0
2020,12,393,187.1822,84335574582.0,1.324,Christmas,23.053548387096775,30.4,9.3,1367.9000000000003,15.0,23.0
2021,1,"1,682",190.0,88556698938.0,1.42,,22.925161290322578,30.6,7.7,1601.9,15.0,25.0
2021,2,"3,366",194.0,88556698938.0,1.601,,23.484285714285715,32.6,8.7,223.1,13.0,24.0
2021,3,"4,581",197.0,88556698938.0,1.661,,24.07935483870968,35.2,7.0,566.3000000000001,14.0,27.0
2021,4,"4,168",197.0,88556698938.0,1.669,Sinhala & Tamil New Year,24.786,37.8,9.5,705.6,12.0,29.0
2021,5,"1,497",200.0,88556698938.0,1.752,Vesak,24.750967741935483,36.3,12.8,1695.1,10.0,37.0
2021,6,"1,614",200.0,88556698938.0,1.857,Poson,24.467333333333336,36.7,11.6,907.0,11.0,33.0
2021,7,"2,429",200.0,88556698938.0,1.887,,24.42451612903226,36.7,11.4,1160.9,13.0,39.0
2021,8,"5,040",200.0,88556698938.0,1.817,Esala Perahera (Kandy),24.08967741935484,36.7,10.4,991.6,11.0,33.0
2021,9,"13,547",202.0,88556698938.0,2.003,,24.199333333333335,36.8,11.7,934.0,13.0,34.0
2021,10,"22,771",201.0,88556698938.0,2.296,,23.764516129032256,34.2,12.0,1346.4,15.0,45.0
2021,11,"44,294",202.0,88556698938.0,2.193,,22.98933333333333,32.3,9.9,2061.8,14.0,49.0
2022,1,"82,327",199.0,74143020263.0,2.446,,23.069032258064517,33.1,6.5,390.8,19.0,61.0
2022,2,"96,507",202.0,74143020263.0,2.682,,23.645714285714284,34.7,7.5,396.2000000000001,20.0,67.0
2022,3,"106,500",256.0,74143020263.0,3.495,,24.449032258064516,34.8,10.4,289.8,24.0,61.0
2022,4,"62,980",319.0,74143020263.0,3.914,Sinhala & Tamil New Year,24.15266666666667,33.9,10.8,971.6,21.0,51.0
2022,5,"30,207",359.0,74143020263.0,3.902,Vesak,24.598064516129035,35.4,13.5,1670.9,16.0,46.0
2022,6,"32,856",360.0,74143020263.0,4.12,Poson,24.295333333333332,36.3,12.3,861.4,15.0,39.0
2022,7,"47,293",361.0,74143020263.0,3.478,,24.188387096774193,36.1,12.1,804.8,17.0,42.0
2022,8,"37,760",361.0,74143020263.0,3.339,Esala Perahera (Kandy),23.77032258064516,36.7,11.0,1363.9,15.0,32.0
2022,9,"29,802",362.0,74143020263.0,3.262,,23.881333333333338,36.4,10.4,645.2,17.0,32.0
2022,10,"42,026",363.0,74143020263.0,3.715,,23.20193548387097,35.3,10.3,1671.3,16.0,32.0
2022,11,"59,759",363.0,74143020263.0,3.16,,22.867333333333335,31.5,9.5,1138.1,16.0,30.0
2022,12,"91,961",363.1652,74143020263.0,2.897,Christmas,22.58774193548387,30.4,7.9,1025.1,15.0,32.0
2023,1,"102,545",362.0,83716142582.0,3.542,,22.38064516129032,31.0,6.1,493.9,15.0,43.0
2023,2,"107,639",362.0,83716142582.0,2.79,,23.00642857142857,32.6,6.0,504.1,14.0,38.0
2023,3,"125,495",329.0,83716142582.0,2.679,,23.937419354838713,33.1,10.4,488.2999999999999,16.0,35.0
2023,4,"105,498",321.0,83716142582.0,2.374,Sinhala & Tamil New Year,24.856666666666666,36.0,10.3,574.6,13.0,35.0
2023,5,"83,309",310.0,83716142582.0,2.173,Vesak,24.96838709677419,37.0,11.8,789.0,15.0,33.0
2023,6,"100,388",301.0,83716142582.0,2.25,Poson,25.118,37.3,12.8,839.4,16.0,35.0
2023,7,"143,039",319.0,83716142582.0,2.488,,24.60451612903226,37.3,11.7,902.5,16.0,38.0
2023,8,"136,405",322.0,83716142582.0,2.989,Esala Perahera (Kandy),24.984516129032254,37.5,11.3,538.5,14.0,35.0
2023,9,"111,938",323.0,83716142582.0,3.12,,23.972,35.5,11.9,1697.4,17.0,39.0
2023,10,"109,199",325.0,83716142582.0,2.881,,23.432903225806452,33.5,11.6,2245.2,16.0,40.0
2023,11,"151,496",328.0,83716142582.0,2.734,,23.286,30.4,10.7,2564.4999999999995,16.0,39.0
2023,12,"210,352",326.7423,83716142582.0,2.387,Christmas,23.486451612903224,32.0,10.0,1756.4,15.0,38.0
2024,1,"208,253",321.0,98963185510.0,2.585,,23.429032258064517,32.6,6.5,801.4,16.0,51.0
2024,2,"218,350",313.0,98963185510.0,2.683,,24.566206896551726,35.4,10.0,223.9,16.0,44.0
2024,3,"209,181",306.0,98963185510.0,2.593,,25.20258064516129,34.5,9.7,310.90000000000003,15.0,42.0
2024,4,"148,867",299.0,98963185510.0,2.605,Sinhala & Tamil New Year,25.897333333333336,35.9,11.2,588.9000000000001,13.0,37.0
2024,5,"112,128",300.0,98963185510.0,2.38,Vesak,25.398064516129033,38.1,13.6,2438.1000000000004,15.0,39.0
2024,6,"113,470",304.0,98963185510.0,2.394,Poson,24.884666666666668,36.2,11.7,1109.1,13.0,39.0
2024,7,"187,810",304.0,98963185510.0,2.419,,24.930967741935483,37.9,12.5,944.8,14.0,45.0
2024,8,"164,609",301.0,98963185510.0,2.176,Esala Perahera (Kandy),24.363225806451613,37.1,12.8,1200.2,14.0,47.0
2024,9,"122,140",301.0,98963185510.0,1.982,,24.64666666666667,36.9,11.3,1007.4,13.0,43.0
2024,10,"135,907",294.0,98963185510.0,2.068,,23.825806451612905,35.4,11.3,1407.0,14.0,48.0
2024,11,"184,158",292.0,98963185510.0,2.065,,23.217333333333336,31.4,11.0,2489.1000000000004,15.0,50.0
2024,12,"248,592",291.6805,,2.097,Christmas,23.55483870967742,32.4,10.5,762.0,14.0,48.0
2025,1,"252,761",296.0,,2.347,,22.99032258064516,33.6,10.3,1521.4,,
2025,2,"240,217",297.0,,2.264,,23.86857142857143,35.4,9.1,302.2,,
2025,3,"229,298",296.0,,2.069,,24.250322580645157,33.8,10.3,603.2,,
2025,4,"174,608",299.0,,1.976,Sinhala & Tamil New Year,24.402,34.7,12.7,1022.9,,
2025,5,"132,919",299.0,,1.928,Vesak,24.996129032258064,35.1,12.4,924.2,,
2025,6,"138,241",300.0,,2.094,Poson,24.721333333333337,36.6,12.5,1033.1,,
2025,7,"200,244",301.0,,2.244,,24.67935483870968,36.9,12.5,1271.2,,
2025,8,,301.4891,,2.024,Esala Perahera (Kandy),24.259354838709676,36.9,11.3,696.1,,
2025,9,,,,,,24.413333333333338,36.1,11.4,874.3999999999999,,
